CanonicalJoint,OpenUSD,BVH,ASF/AMC,VRM,HAnim,SMPL,SMPL-X,Mixamo,UEMannequin,UnityMecanim,Godot,SecondLife,Roblox,Momentum
LeftUpperLeg,LLeg,LeftUpLeg,lfemur,leftUpperLeg,l_hip,LThigh,LThigh,LeftUpLeg,Thigh_L,LeftUpperLeg,LeftUpperLeg,mHipLeft/L_UPPER_LEG,LeftUpperLeg,l_upleg
LeftLowerLeg,LKnee,LeftLeg,ltibia,leftLowerLeg,l_knee,LLeg,LLeg,LeftLeg,Calf_L,LeftLowerLeg,LeftLowerLeg,mKneeLeft/L_LOWER_LEG,LeftLowerLeg,l_lowleg
LeftFoot,LFoot,LeftFoot,lfoot,leftFoot,l_talocrural,LFoot,LFoot,LeftFoot,Foot_L,LeftFoot,LeftFoot,mAnkleLeft/L_FOOT,LeftFoot,l_foot
LeftFoot1,-,-,-,-,l_tarsometatarsal_2,-,-,-,-,-,-,mFootLeft,-,l_talocrural
LeftToes,LToes,EndSite,ltoes,leftToes,l_metatarsophalangeal_2,-,LeftToes,LeftToeBase,Toe_L (opt),LeftToes (opt),LeftToes,mToeLeft,-,l_ball
LeftToesTip,LTip,-,-,-,site l_tarsal_distal_phalanx_2,-,LTip,-,LeftTip (opt),-,-,-,-,-
RightUpperLeg,RLeg,RightUpLeg,rfemur,rightUpperLeg,r_hip,RThigh,RThigh,RightUpLeg,Thigh_R,RightUpperLeg,RightUpperLeg,mHipRight/R_UPPER_LEG,RightUpperLeg,r_upleg
RightLowerLeg,RKnee,RightLeg,rtibia,rightLowerLeg,r_knee,RLeg,RLeg,RightLeg,Calf_R,RightLowerLeg,RightLowerLeg,mKneeRight/R_LOWER_LEG,RightLowerLeg,r_lowleg
RightFoot,RFoot,RightFoot,rfoot,rightFoot,r_talocrural,RFoot,RFoot,RightFoot,Foot_R,RightFoot,RightFoot,mAnkleRight/R_FOOT,RightFoot,r_foot
RightFoot1,-,-,-,-,r_tarsometatarsal_2,-,-,-,-,-,-,mFootRight,-,r_talocrural
RightToes,RToes,EndSite,rtoes,rightToes,r_metatarsophalangeal_2,-,-,RightToeBase,Toe_R (opt),RightToes (opt),RightToes,mToeRight,-,r_ball
RightToesTip,RTip,-,-,-,site r_tarsal_distal_phalanx_2,-,RTip,-,RightTip (opt),-,-,-,-,-
